[2026-08-20T07:26:05+00:00] watchdog start pid=3899865
[2026-08-20T10:54:09+00:00] stage1 still running
[2026-08-20T10:56:09+00:00] stage1 still running
[2026-08-20T10:58:09+00:00] stage1 still running
[2026-08-20T11:00:09+00:00] stage1 still running
[2026-08-20T11:02:09+00:00] stage1 still running
[2026-08-20T11:04:09+00:00] stage1 still running
[2026-08-20T11:06:09+00:00] stage1 still running
[2026-08-20T11:08:09+00:00] stage1 still running
[2026-08-20T11:10:09+00:00] stage1 still running
[2026-08-20T11:12:09+00:00] stage1 still running
[2026-08-20T11:14:09+00:00] stage1 still running
[2026-08-20T11:16:09+00:00] stage1 still running
[2026-08-20T11:18:09+00:00] stage1 still running
[2026-08-20T11:20:09+00:00] stage1 still running
[2026-08-20T11:22:09+00:00] stage1 still running
[2026-08-20T11:24:09+00:00] stage1 still running
[2026-08-20T11:26:09+00:00] stage1 still running
[2026-08-20T11:28:09+00:00] stage1 still running
[2026-08-20T11:30:09+00:00] stage1 still running
[2026-08-20T11:32:10+00:00] stage1 still running
[2026-08-20T11:34:10+00:00] stage1 still running
[2026-08-20T11:36:10+00:00] stage1 still running
[2026-08-20T11:38:10+00:00] stage1 still running
[2026-08-20T11:40:10+00:00] stage1 still running
[2026-08-20T11:42:10+00:00] stage1 still running
[2026-08-20T11:44:10+00:00] stage1 still running
[2026-08-20T11:46:10+00:00] stage1 still running
[2026-08-20T11:48:10+00:00] stage1 still running
[2026-08-20T11:50:10+00:00] stage1 still running
[2026-08-20T11:52:10+00:00] stage1 still running
[2026-08-20T11:54:10+00:00] stage1 still running
[2026-08-20T11:56:10+00:00] stage1 still running
[2026-08-20T11:58:10+00:00] stage1 still running
[2026-08-20T12:00:10+00:00] stage1 still running
[2026-08-20T12:02:10+00:00] stage1 still running
[2026-08-20T12:04:10+00:00] stage1 still running
[2026-08-20T12:06:10+00:00] stage1 still running
[2026-08-20T12:08:10+00:00] stage1 still running
[2026-08-20T12:10:10+00:00] stage1 still running
[2026-08-20T12:12:10+00:00] stage1 still running
[2026-08-20T12:14:10+00:00] stage1 still running
[2026-08-20T12:16:10+00:00] stage1 still running
[2026-08-20T12:18:10+00:00] stage1 still running
[2026-08-20T12:20:10+00:00] stage1 still running
[2026-08-20T12:22:10+00:00] stage1 still running
[2026-08-20T12:24:10+00:00] stage1 still running
[2026-08-20T12:26:11+00:00] stage1 still running
[2026-08-20T12:28:11+00:00] stage1 still running
[2026-08-20T12:30:11+00:00] stage1 still running
[2026-08-20T12:32:11+00:00] stage1 still running
[2026-08-20T12:34:11+00:00] stage1 still running
[2026-08-20T12:36:11+00:00] stage1 still running
[2026-08-20T12:38:11+00:00] stage1 still running
[2026-08-20T12:40:11+00:00] stage1 still running
[2026-08-20T12:42:11+00:00] stage1 still running
[2026-08-20T12:44:11+00:00] stage1 still running
[2026-08-20T12:46:11+00:00] stage1 still running
[2026-08-20T12:48:11+00:00] stage1 still running
[2026-08-20T12:50:11+00:00] stage1 still running
[2026-08-20T12:52:11+00:00] stage1 still running
[2026-08-20T12:54:11+00:00] stage1 still running
[2026-08-20T12:56:11+00:00] stage1 still running
[2026-08-20T12:58:11+00:00] stage1 still running
[2026-08-20T13:00:11+00:00] stage1 still running
[2026-08-20T13:02:11+00:00] stage1 still running
[2026-08-20T13:04:11+00:00] stage1 still running
[2026-08-20T13:06:11+00:00] stage1 still running
[2026-08-20T13:08:11+00:00] stage1 still running
[2026-08-20T13:10:11+00:00] stage1 still running
[2026-08-20T13:12:11+00:00] stage1 still running
[2026-08-20T13:14:11+00:00] stage1 still running
[2026-08-20T13:16:11+00:00] stage1 still running
[2026-08-20T13:18:11+00:00] stage1 still running
[2026-08-20T13:20:11+00:00] stage1 still running
[2026-08-20T13:22:12+00:00] stage1 still running
[2026-08-20T13:24:12+00:00] stage1 still running
[2026-08-20T13:26:12+00:00] stage1 still running
[2026-08-20T13:28:12+00:00] stage1 still running
[2026-08-20T13:30:12+00:00] stage1 still running
[2026-08-20T13:32:12+00:00] stage1 still running
[2026-08-20T13:34:12+00:00] stage1 still running
[2026-08-20T13:36:12+00:00] stage1 still running
[2026-08-20T13:38:12+00:00] stage1 still running
[2026-08-20T13:40:12+00:00] stage1 still running
[2026-08-20T13:42:12+00:00] stage1 still running
[2026-08-20T13:44:12+00:00] stage1 still running
[2026-08-20T13:46:12+00:00] stage1 still running
[2026-08-20T13:48:12+00:00] stage1 still running
[2026-08-20T13:50:12+00:00] stage1 still running
[2026-08-20T13:52:12+00:00] stage1 still running
[2026-08-20T13:54:12+00:00] stage1 still running
[2026-08-20T13:56:12+00:00] stage1 still running
[2026-08-20T13:58:12+00:00] stage1 still running
[2026-08-20T14:00:12+00:00] stage1 still running
