method,id,gold,base_label,predicted_label,biolinkbert_label,uncertainty_score,audit_score,label_entropy,maybe_fraction,inconclusive_fraction,mean_disagreement_with_mode,flip_rate,panel_uncertainty_conf,bert_is_maybe,semantic_entropy,supported,refuted,silent
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-9427037,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-18496363,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-11867487,maybe,maybe,maybe,maybe,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-24481006,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-12040336,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-12630042,maybe,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-8165771,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-14631523,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-19468282,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-22680064,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-21823940,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-16538201,maybe,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-22540518,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-17971187,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-20971618,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-20629769,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-27642458,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-24336869,maybe,maybe,maybe,maybe,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-21726930,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-12970636,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-20197761,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-21481154,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-11138995,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-16968876,maybe,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-22902073,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-15388567,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-26778755,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-26370095,yes,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-19142546,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-18568290,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-18041059,yes,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-8921484,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-25371231,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-15041506,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-26209118,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-25394614,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-11146778,yes,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-22668852,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-11570976,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-27281318,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-18019905,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-16816043,maybe,maybe,maybe,maybe,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-21645374,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-18378554,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-12805495,maybe,maybe,maybe,maybe,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-9465206,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-24073931,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-25571931,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-25887165,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-7547656,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-19578820,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-15995461,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-28359277,no,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-18243752,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-21850494,yes,no,no,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-18667100,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-11458136,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-19106867,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-10781708,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-12790890,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-21342862,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-22522271,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-18714572,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-24352924,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-11955750,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-25103647,maybe,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-12377809,yes,yes,maybe,yes,0.04,,-0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-24577079,no,no,no,no,0.7011664260714372,,0.5118595071429148,0.75,1.0,0.24125,0.25,0.85,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-18284441,maybe,yes,yes,yes,0.6010789260714373,,0.5118595071429148,0.75,0.75,0.24,0.25,0.8000000000000002,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-26163474,yes,yes,maybe,yes,0.6212189260714372,,0.5118595071429148,0.75,0.75,0.242,0.5,0.75,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-24669960,no,no,maybe,no,0.1,,-0.0,0.0,0.25,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-18802997,maybe,yes,maybe,yes,0.6009039260714373,,0.5118595071429148,0.75,0.75,0.2375,0.25,0.75,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-19100463,yes,yes,maybe,yes,0.6900000000000001,,-0.0,1.0,1.0,0.0,0.5,0.5,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-15502995,no,no,no,no,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-17621202,maybe,no,no,no,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-18537964,yes,yes,yes,yes,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-21214884,no,no,no,no,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-11411430,maybe,yes,yes,yes,0.67,,-0.0,1.0,1.0,0.0,0.25,0.7124999999999999,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-12913878,yes,yes,yes,yes,0.02,,-0.0,0.0,0.0,0.0,0.25,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-24476003,no,no,maybe,no,0.34,,-0.0,0.0,0.75,0.0,0.5,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-26708803,maybe,yes,yes,yes,0.6900000000000001,,-0.0,1.0,1.0,0.0,0.5,0.8,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-12765819,yes,yes,yes,yes,0.71,,-0.0,1.0,1.0,0.0,0.75,0.85,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-22758782,no,no,no,no,0.4,,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-25079920,maybe,no,no,no,0.65,,-0.0,1.0,1.0,0.0,0.0,0.7375,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-25475395,yes,yes,yes,yes,0.65,,-0.0,1.0,1.0,0.0,0.0,0.7,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-14627582,no,yes,yes,yes,0.02,,-0.0,0.0,0.0,0.0,0.25,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-25793749,maybe,yes,yes,yes,0.67,,-0.0,1.0,1.0,0.0,0.25,0.85,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-19130332,yes,yes,yes,yes,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-24666444,no,no,maybe,no,0.42000000000000004,,-0.0,0.0,1.0,0.0,0.25,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-19103915,maybe,yes,maybe,yes,0.65,,-0.0,1.0,1.0,0.0,0.0,0.8,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-9427037,yes,yes,maybe,yes,0.6003789260714373,,0.5118595071429148,0.75,0.75,0.23,0.25,0.8333333333333334,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-18496363,no,no,no,no,0.67,,-0.0,1.0,1.0,0.0,0.25,0.85,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-11867487,maybe,maybe,maybe,maybe,0.7000000000000001,,-0.0,1.0,1.0,0.0,0.0,0.411,1.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-24481006,yes,yes,yes,yes,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-12040336,no,no,no,no,0.4,,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-12630042,maybe,yes,yes,yes,0.02,,-0.0,0.0,0.0,0.0,0.25,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-8165771,yes,yes,maybe,yes,0.6900000000000001,,-0.0,1.0,1.0,0.0,0.5,0.8,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-14631523,no,no,maybe,no,0.4,,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-19468282,maybe,no,no,no,0.04,,-0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-22680064,yes,yes,yes,yes,0.02,,-0.0,0.0,0.0,0.0,0.25,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-21823940,no,no,maybe,no,0.67,,-0.0,1.0,1.0,0.0,0.25,0.9,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-16538201,maybe,yes,yes,yes,0.02,,-0.0,0.0,0.0,0.0,0.25,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-22540518,yes,yes,yes,yes,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-17971187,no,no,no,no,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-20971618,maybe,no,no,no,0.6641394630357187,,0.6309297535714575,0.5,1.0,0.35,0.25,0.7,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-20629769,yes,yes,maybe,yes,0.65,,-0.0,1.0,1.0,0.0,0.0,0.8,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-27642458,no,no,no,no,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-24336869,maybe,maybe,maybe,maybe,0.7000000000000001,,-0.0,1.0,1.0,0.0,0.0,0.8,1.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-21726930,yes,yes,yes,yes,0.02,,-0.0,0.0,0.0,0.0,0.25,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-12970636,no,no,no,no,0.6900000000000001,,-0.0,1.0,1.0,0.0,0.5,0.7,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-20197761,maybe,no,no,no,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-21481154,yes,yes,yes,yes,0.6900000000000001,,-0.0,1.0,1.0,0.0,0.5,0.825,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-11138995,no,no,no,no,0.4,,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-16968876,maybe,yes,yes,yes,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-22902073,yes,yes,yes,yes,0.02,,-0.0,0.0,0.0,0.0,0.25,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-15388567,no,no,no,no,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-26778755,maybe,no,no,no,0.67,,-0.0,1.0,1.0,0.0,0.25,0.85,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-26370095,yes,no,maybe,no,0.6900000000000001,,-0.0,1.0,1.0,0.0,0.5,0.85,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-19142546,no,no,no,no,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-18568290,maybe,no,maybe,no,0.7391539260714373,,0.5118595071429148,0.75,1.0,0.2125,0.75,0.85,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-18041059,yes,no,no,no,0.02,,-0.0,0.0,0.0,0.0,0.25,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-8921484,no,no,maybe,no,0.1,,-0.0,0.0,0.25,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-25371231,maybe,no,maybe,no,0.67,,-0.0,1.0,1.0,0.0,0.25,0.5,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-15041506,yes,yes,yes,yes,0.71,,-0.0,1.0,1.0,0.0,0.75,0.75,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-26209118,no,no,maybe,no,0.42000000000000004,,-0.0,0.0,1.0,0.0,0.25,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-25394614,maybe,no,no,no,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-11146778,yes,no,maybe,no,0.4,,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-22668852,no,no,no,no,0.02,,-0.0,0.0,0.0,0.0,0.25,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-11570976,maybe,no,no,no,0.4,,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-27281318,yes,yes,yes,yes,0.6000289260714373,,0.5118595071429148,0.75,0.75,0.225,0.25,0.6,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-18019905,no,no,no,no,0.65,,-0.0,1.0,1.0,0.0,0.0,0.9,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-16816043,maybe,maybe,maybe,maybe,0.7000000000000001,,-0.0,1.0,1.0,0.0,0.0,0.951,1.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-21645374,yes,yes,yes,yes,0.48763946303571865,,0.6309297535714575,0.5,0.5,0.4,0.5,0.8,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-18378554,no,no,maybe,no,0.6900000000000001,,-0.0,1.0,1.0,0.0,0.5,0.85,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-12805495,maybe,maybe,maybe,maybe,0.72,,-0.0,1.0,1.0,0.0,0.25,0.98,1.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-9465206,yes,yes,yes,yes,0.65,,-0.0,1.0,1.0,0.0,0.0,0.525,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-24073931,no,no,no,no,0.67,,-0.0,1.0,1.0,0.0,0.25,0.9,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-25571931,maybe,no,no,no,0.4,,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-25887165,yes,yes,yes,yes,0.7365289260714373,,0.5118595071429148,0.75,1.0,0.175,0.75,0.6999999999999998,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-7547656,no,no,no,no,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-19578820,maybe,no,no,no,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-15995461,yes,yes,yes,yes,0.67,,-0.0,1.0,1.0,0.0,0.25,0.65,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-28359277,no,yes,maybe,yes,0.65,,-0.0,1.0,1.0,0.0,0.0,0.85,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-18243752,maybe,no,no,no,0.5915289260714373,,0.5118595071429148,0.25,1.0,0.175,0.5,0.7,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-21850494,yes,yes,yes,yes,0.65,,-0.0,1.0,1.0,0.0,0.0,0.6,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-18667100,no,no,maybe,no,0.4,,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-11458136,maybe,no,no,no,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-19106867,yes,yes,maybe,yes,0.65,,-0.0,1.0,1.0,0.0,0.0,0.625,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-10781708,no,no,maybe,no,0.67,,-0.0,1.0,1.0,0.0,0.25,0.85,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-12790890,maybe,no,no,no,0.4,,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-21342862,yes,yes,yes,yes,0.02,,-0.0,0.0,0.0,0.0,0.25,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-22522271,no,no,maybe,no,0.4,,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-18714572,maybe,no,no,no,0.4,,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-24352924,yes,yes,yes,yes,0.71,,-0.0,1.0,1.0,0.0,0.75,0.7,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-11955750,no,no,maybe,no,0.4,,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
debate_balanced90_ollama_r2_uncertainty,pubmedqa-official-25103647,maybe,yes,maybe,yes,0.67,,-0.0,1.0,1.0,0.0,0.25,0.7,0.0,,,,
debate_pqal500_biolinkbert,pubmedqa-official-12377809,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-26163474,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-19100463,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-18537964,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-12913878,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-12765819,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-25475395,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-19130332,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-9427037,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-24481006,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-8165771,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-22680064,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-22540518,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-20629769,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-21726930,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-21481154,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-22902073,yes,yes,yes,yes,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-26370095,yes,no,no,no,,,,,,,,,,,,,
debate_pqal500_biolinkbert,pubmedqa-official-18041059,yes,no,no,no,,,,,,,,,,,,,
